ID в системе;Название;Описание;Цена;Скидка (в процентах);"Изображения (через ;)";"Названия опций (через ;)";"Названия доп. опций (через ;)";Дата создания;Категория
38932;Versace Eros energy 100мл eau de parfum ;"Versace Eros energy eau de parfum, 100мл.

Eros Energy выпущен в 2024 году. Верхние ноты: Лимон, Лайм, Грейпфрут, Красный апельсин, Сицилийский бергамот и Мандарин; средние ноты: Розовый перец, Белая амбра и Черная смородина; базовые ноты: Мускус, Дубовый мох и Пачули.";7500 ₽;0;https://api.chatmarket.io/storage/1757594162794-298746520-MTc1N.jpg;;;03:36 11.09.2025;Без категории
38925;Versace Eros flame 100мл eau de parfum ;"Versace Eros flame eau de parfum 100мл

Верхние ноты: Мандарин, Мадагаскарский перец, Лимон, Чинотто и Розмарин; средние ноты: Герань, Роза и Pepperwood™; базовые ноты: Ваниль, Бобы тонка, Сандал, Техасский кедр, Пачули и Дубовый мох.

";7500 ₽;0;https://api.chatmarket.io/storage/1757593633714-936254039-MTc1N.jpg;;;03:27 11.09.2025;Без категории
35598;BYREDO Reine De Nuit 50мл;"Оригинал, 50мл.

Мистический аромат Reine de Nuit благоухает королевской розой и дымком в пикантном обрамлении восточных пряностей. Цветочные духи от Byredo Parfums привносят в женский облик пленительность и шарм — и делают ее опасной как колдунья.

Шафран и черная смородина, яркая пикантность и темная терпкость как неизбежное чередование ночей и дней.
Пленительная роза на дымном фоне ладана похожа на картину гениального художника.
Волнующий аромат амбры сияет вокруг кожи аурой соблазна — невидимой и потому особенно манящей.";12000 ₽;0;https://api.chatmarket.io/storage/1758019294283-644659106-aW1hZ.jpg;;;05:28 25.08.2025;Без категории
38931;Versace Eros najim 100мл eau de parfum ;"Versace Eros najim eau de parfum, 100 мл.

Eros Najim Versace — это аромат для мужчин, он принадлежит к группе восточные древесные. Это новое издание: Eros Najim выпущен в 2024 году. Верхние ноты: Карамель и Итальянский мандарин; средние ноты: Кардамон и Уд; базовые ноты: Ладан, Пачули и Ветивер.

";7500 ₽;0;https://api.chatmarket.io/storage/1757594049016-791522409-MTc1N.jpg;;;03:34 11.09.2025;Без категории
35359;Versace pour homme eau de toilette 50 мл;"Оригинал, 50мл

Туалетная вода Versace Pour Homme впитала в себя средиземноморский характер, имея в своем составе ингредиенты местного происхождения. Древесный аромат туалетной воды подойдет умным и сильным мужчинам, привыкшим шагать в ногу со временем. Верхние ноты Pour Homme дарят свежесть и состоят из лимона, бергамота, апельсиновых листьев и нероли. Букет из голубого гиацинта, герани, мускатного шалфея и кедра составляет ноты сердца парфюма. Завершит этот гармоничный образ шлейф из мускуса, агарового дерева и бобов тонка. С Versace вы всегда будете производить впечатление стильного и эффектного мужчины, а стойкий аромат окутает вас чувственностью и шармом на весь день.";4500 ₽;0;https://api.chatmarket.io/storage/1755911564024-47065777-MTc1N.jpg;;;04:12 23.08.2025;Без категории
35361;Versace eros flame eu de parfum 30мл;"Оригинал. 30мл
Наличие других объёмов уточняйте!

принадлежит к группе древесные пряные. Eros Flame выпущен в 2018 году. Парфюмер: Olivier Pescheux. Верхние ноты: Мандарин, Мадагаскарский перец, Лимон, Чинотто и Розмарин; средние ноты: Герань, Роза и Pepperwood™; базовые ноты: Ваниль, Бобы тонка, Сандал, Техасский кедр, Пачули и Дубовый мох.
";4000 ₽;0;https://api.chatmarket.io/storage/1755912713158-512768579-MTc1N.jpg;;;04:31 23.08.2025;Без категории
36171;DAHAB by KAJAL eau de parfum 100мл Тестер;"Оригинал, 100мл, ТЕСТЕР.

Волшебный, гипнотический аромат от KAJAL словно окутывает золотистым сиянием и ощущением роскоши.
Слово DAHAB в переводе с арабского означает «золото», поэтому композиция и флакон парфюмерной воды вызывают ассоциации с этим ценным, благородным металлом. Магию аромата передают искрящиеся верхние ноты зеленого яблока и бергамота.
Оригинальное сочетание яркой и сладкой маракуйи, кедра и семян кориандра окутывает чарами, перед которыми трудно устоять.
Таинственный эликсир дополняют пачули, мускус и амбра, которые делают аромат еще более чувственным и соблазнительным.";8000 ₽;0;https://api.chatmarket.io/storage/1756326406062-439230778-MTc1N.jpg;;;11:25 27.08.2025;Без категории
36174;AMOUAGE Outlands eau de parfum 100мл ТЕСТЕР;"Оригинал, 100мл ТЕСТЕР

Грань воображения. Неизведанные тайны. Магнетизм будущего. Outlands — это приглашение отправиться в запредельное.

Начальная нота неожиданно беззаботна: бодрящий набор ярких цитрусовых, подчеркнутых засахаренным лимоном.
По мере продолжения путешествия богатый, многогранный пачули, в равной степени излучающий тепло, влажность и зелень — заставляет бесстрашного путешественника все глубже и глубже проникать в таинственный ландшафт.
Наконец, янтарный аккорд, отражающийся силой бальзамов и смол, соблазняет перейти в самую скрытую стадию путешествия.";17000 ₽;0;https://api.chatmarket.io/storage/1756327098564-649172812-aW1hZ.jpg;;;11:38 27.08.2025;Без категории
36172;XERJOFF erba pura eau de parfum 50мл;"Оригинал, 50мл

Сердце аромата содержат уникальную молекулу, получаемую из редкого индийского растения. Благодаря особому методу получения, который в Индии называется “Pura”, эта фруктово-цветочная композиция имеет бархатистый шлейф и феноменальную стойкость";8000 ₽;0;https://api.chatmarket.io/storage/1756326699272-399755648-MTc1N.jpg;;;11:31 27.08.2025;Без категории
36173;XERJOFF erba pura eau de parfum 100мл ТЕСТЕР;"Оригинал, 100мл, ТЕСТЕР

Сердце аромата содержат уникальную молекулу, получаемую из редкого индийского растения. Благодаря особому методу получения, который в Индии называется “Pura”, эта фруктово-цветочная композиция имеет бархатистый шлейф и феноменальную стойкость";9000 ₽;0;https://api.chatmarket.io/storage/1756326869559-559022306-MTc1N.jpg;;;11:34 27.08.2025;Без категории
